libelle_unite;type_materiel;code_unite_terminal_de_saisie
BTA de Sèvremoine;Scanner;01205
BP de Verrières-en-Anjou;Scanner;01190
BP de Doué-en-Anjou;Bloc optique;01216
BP de Segré-en-Anjou-Bleu;Bloc optique;01227
BTA  d'Angers;Bloc optique;01184
BP de Longué-Jumelles;Bloc optique;01219
CIC BDRIJ GGD50;Scanner;19585
BGMAR de Cherbourg;Scanner;75455
BP des Pieux;Scanner;01018
BP de Valognes;Scanner;01023
BTA d'Avranches;Bloc optique;01000
BP de Bréhal;Bloc optique;01029
CIC BDRIJ GGD51;Scanner;20350
BP de Sézanne;Scanner;03589
BP de Gueux;Scanner;03598
BP de Vitry-le-François;Bloc optique;03606
CIC BDRIJ GGD52;Scanner;20401
BP de Joinville;Scanner;03758
BTA  de Langres;Bloc optique;03738
CIC BDRIJ GGD53;Scanner;19653
BP d'Evron;Scanner;01245
BP d'Ernée;Scanner;01265
BP de Château-Gontier-sur-Mayenne;Bloc optique;01253
BP de Mayenne;Bloc optique;01262
CIC BDRIJ GGD54;Scanner;20265
PMO de Val-de-Briey;Scanner;29325
BP de Lexy;Scanner;28352
BP de Blainville-sur-l'Eau;Bloc optique;03332
BTA  de Frouard;Bloc optique;03294
BTA de Neuves-Maisons;Bloc optique;03297
CIC BDRIJ GGD55;Scanner;20282
BP d'Etain;Scanner;03383
BTA de Commercy;Scanner;03361
BP de Void-Vacon;Bloc optique;03368
CIC BDRIJ GGD56;Scanner;19551
BRGMAR de Lorient;Scanner;04205
BP de Carnac;Scanner;00876
BP de Theix-Noyalo;Scanner;10049
BP de Ploërmel;Bloc optique;00889
BP de Pontivy;Bloc optique;00900
BTA  d'Auray;Bloc optique;00873
BP de Pont-Scorff;Bloc optique;00884
BP de Port-Louis;Bloc optique;00885
BP de Questembert;Bloc optique;00865
BP de Baud;Bloc optique;00901
CIC BDRIJ GGD57;Scanner;20248
BP de Dieuze;Scanner;03225
BTA  de Maizières-lès-Metz;Bloc optique;03206
BTA  de Creutzwald;Bloc optique;03217
BTA  de Fameck;Bloc optique;03267
BTA de Behren-lès-Forbach;Bloc optique;03231
CIC BDRIJ GGD58;Scanner;20435
BP de La-Charité-sur-Loire;Scanner;03867
BP de Cosne-Cours-sur-Loire;Bloc optique;03865
CIC BDRIJ GGD59;Scanner;19364
BTA d'Annoeullin;Scanner;00117
PMO de Cambrai;Scanner;07782
BTA  de Fourmies;Bloc optique;00189
BTA  de Caudry;Bloc optique;00200
BTA  d'Orchies;Bloc optique;00214
BTA  de La-Bassée;Bloc optique;00118
BTA du Cateau-Cambrésis;Bloc optique;00199
BP de Ghyvelde;Bloc optique;19126
BTA d'Estaires;Bloc optique;00146
BTA de Bouchain;Bloc optique;00174
CIC BDRIJ GGD60;Scanner;19449
BP de Grandvilliers;Scanner;00474
BTA de Nanteuil-le-Haudouin;Scanner;00516
BTA de Clermont;Bloc optique;00481
BP de Noyon;Bloc optique;00500
BP de Méru;Bloc optique;00476
BTA  de Chantilly;Bloc optique;00512
BP de Auneuil;Bloc optique;00468
BTA de Chambly;Bloc optique;00511
BP de Choisy-au-Bac;Bloc optique;00495
BP de Crépy-en-Valois;Bloc optique;00514
BP de Pont-Sainte-Maxence;Bloc optique;00517
CIC BDRIJ GGD61;Scanner;19602
BTA d'Alençon;Scanner;01059
BP de Gacé;Scanner;01072
BP de l'Aigle;Bloc optique;01095
BP d'Argentan;Bloc optique;01067
BP de Flers;Bloc optique;01085
BP de La-Ferté-Macé;Bloc optique;01084
BP de Domfront-en-Poiraie;Bloc optique;01081
CIC BDRIJ GGD62;Scanner;19398
BP d'écuires;Scanner;00293
BP de Marconne;Scanner;70678
BR Arras;Bloc optique;00238
BP de Saint-Pol-sur-Ternoise;Bloc optique;00314
BTA  d'Aire-sur-la-Lys;Bloc optique;00305
PMO de Béthune;Bloc optique;08775
CIC BDRIJ GGD63;Scanner;20180
BP de Veyre-Monton;Scanner;02992
BP d'Issoire;Scanner;03007
BP de Thiers;Bloc optique;03038
CIC BDRIJ GGD64;Scanner;19772
BP de Lescar;Scanner;01665
BP d'Ustaritz;Scanner;01689
